Filename,ID
id_35_frame_13640.png,35
id_35_frame_5679.png,35
id_6_frame_1561.jpg,6
id_42_frame_5945.png,42
id_42_frame_929.jpg,42
id_35_frame_5459.png,35
id_23_frame_5975.png,23
id_23_frame_59.png,23
id_42_frame_59.png,42
id_35_frame_1360.png,35
id_23_frame_549.png,23
id_3_frame_59.jpg,3
id_23_frame_159.jpg,23
id_20_frame_838.jpg,20
id_46_frame_5985.png,46
id_6_frame_1360.png,6
id_35_frame_1470.jpg,35
id_35_frame_55459.png,35
id_6_frame_136430.png,6
id_23_frame_596.png,23
id_20_frame_13606.png,20
id_6_frame_13630.png,6
id_20_frame_55559.png,20
id_3_frame_595.png,3
id_46_frame_597.png,46
id_20_frame_1367.jpg,20
id_20_frame_59.png,20
id_42_frame_1245.jpg,42
id_42_frame_598.png,42
id_20_frame_1360.jpg,20
id_20_frame_757.jpg,20
id_3_frame_596.png,3
id_64_frame_13660.png,64
id_64_frame_1386560.png,64
id_3_frame_68.jpg,3
id_23_frame_256.jpg,23
id_64_frame_1663.jpg,64
id_46_frame_1038.jpg,46
