path,ID
EDI_Cam_testData/summer_vid/vid1/cam1/id_93_frame_4502.jpg,93
EDI_Cam_testData/summer_vid/vid1/cam1/id_20_frame_1087.jpg,20
EDI_Cam_testData/summer_vid/vid1/cam1/id_78_frame_3579.jpg,78
EDI_Cam_testData/summer_vid/vid1/cam1/id_21_frame_343.jpg,21
EDI_Cam_testData/summer_vid/vid1/cam1/id_20_frame_1101.jpg,20
EDI_Cam_testData/summer_vid/vid1/cam1/id_58_frame_3428.jpg,58
EDI_Cam_testData/summer_vid/vid1/cam1/id_10_frame_3186.jpg,10
EDI_Cam_testData/summer_vid/vid1/cam1/id_21_frame_149.jpg,21
EDI_Cam_testData/summer_vid/vid1/cam1/id_82_frame_4350.jpg,82
EDI_Cam_testData/summer_vid/vid1/cam1/id_58_frame_2082.jpg,58
EDI_Cam_testData/summer_vid/vid1/cam1/id_21_frame_909.jpg,21
EDI_Cam_testData/summer_vid/vid1/cam1/id_21_frame_936.jpg,21
EDI_Cam_testData/summer_vid/vid1/cam1/id_10_frame_2558.jpg,10
EDI_Cam_testData/summer_vid/vid1/cam1/id_58_frame_2102.jpg,58
EDI_Cam_testData/summer_vid/vid1/cam1/id_58_frame_2116.jpg,58
EDI_Cam_testData/summer_vid/vid1/cam1/id_10_frame_734.jpg,10
EDI_Cam_testData/summer_vid/vid1/cam1/id_10_frame_1263.jpg,10
EDI_Cam_testData/summer_vid/vid1/cam1/id_22_frame_2954.jpg,22
EDI_Cam_testData/summer_vid/vid1/cam1/id_58_frame_3354.jpg,58
EDI_Cam_testData/summer_vid/vid1/cam1/id_20_frame_1107.jpg,20
EDI_Cam_testData/summer_vid/vid1/cam1/id_82_frame_4100.jpg,82
EDI_Cam_testData/summer_vid/vid1/cam1/id_10_frame_3203.jpg,10
EDI_Cam_testData/summer_vid/vid1/cam1/id_78_frame_3761.jpg,78
EDI_Cam_testData/summer_vid/vid1/cam1/id_6_frame_3912.jpg,6
EDI_Cam_testData/summer_vid/vid1/cam1/id_22_frame_1758.jpg,22
EDI_Cam_testData/summer_vid/vid1/cam1/id_93_frame_4511.jpg,93
EDI_Cam_testData/summer_vid/vid1/cam1/id_22_frame_1697.jpg,22
EDI_Cam_testData/summer_vid/vid1/cam1/id_22_frame_2906.jpg,22
EDI_Cam_testData/summer_vid/vid1/cam1/id_6_frame_3938.jpg,6
EDI_Cam_testData/summer_vid/vid1/cam1/id_58_frame_3385.jpg,58
EDI_Cam_testData/summer_vid/vid1/cam1/id_22_frame_2712.jpg,22
EDI_Cam_testData/summer_vid/vid1/cam1/id_22_frame_2943.jpg,22
EDI_Cam_testData/summer_vid/vid1/cam1/id_21_frame_308.jpg,21
EDI_Cam_testData/summer_vid/vid1/cam1/id_93_frame_4526.jpg,93
EDI_Cam_testData/summer_vid/vid1/cam1/id_10_frame_3167.jpg,10
EDI_Cam_testData/summer_vid/vid1/cam1/id_6_frame_3924.jpg,6
EDI_Cam_testData/summer_vid/vid1/cam1/id_22_frame_1756.jpg,22
EDI_Cam_testData/summer_vid/vid1/cam1/id_51_frame_1930.jpg,51
EDI_Cam_testData/summer_vid/vid1/cam1/id_10_frame_1546.jpg,10
EDI_Cam_testData/summer_vid/vid1/cam1/id_82_frame_4321.jpg,82
EDI_Cam_testData/summer_vid/vid1/cam1/id_10_frame_494.jpg,10
EDI_Cam_testData/summer_vid/vid1/cam1/id_51_frame_1909.jpg,51
EDI_Cam_testData/summer_vid/vid1/cam1/id_10_frame_2267.jpg,10
EDI_Cam_testData/summer_vid/vid1/cam1/id_10_frame_754.jpg,10
EDI_Cam_testData/winter_vid/cam1/16_7.0.jpg,1
EDI_Cam_testData/winter_vid/cam1/29_7.0.jpg,1
EDI_Cam_testData/winter_vid/cam1/75_7.0.jpg,1
EDI_Cam_testData/winter_vid/cam1/135_2.0.jpg,2
EDI_Cam_testData/winter_vid/cam1/156_2.0.jpg,2
EDI_Cam_testData/winter_vid/cam1/177_2.0.jpg,2
EDI_Cam_testData/winter_vid/cam1/262_7.0.jpg,3
EDI_Cam_testData/winter_vid/cam1/272_2.0.jpg,3
EDI_Cam_testData/winter_vid/cam1/276_2.0.jpg,3
EDI_Cam_testData/winter_vid/cam1/356_2.0.jpg,4
EDI_Cam_testData/winter_vid/cam1/368_2.0.jpg,4
EDI_Cam_testData/winter_vid/cam1/374_2.0.jpg,4
EDI_Cam_testData/winter_vid/cam1/426_2.0.jpg,2
EDI_Cam_testData/winter_vid/cam1/439_2.0.jpg,2
EDI_Cam_testData/winter_vid/cam1/446_2.0.jpg,2
EDI_Cam_testData/winter_vid/cam1/524_7.0.jpg,5
EDI_Cam_testData/winter_vid/cam1/569_2.0.jpg,5
EDI_Cam_testData/winter_vid/cam1/589_7.0.jpg,5
EDI_Cam_testData/winter_vid/cam1/732_2.0.jpg,5
EDI_Cam_testData/winter_vid/cam1/876_2.0.jpg,6
EDI_Cam_testData/winter_vid/cam1/885_2.0.jpg,6
EDI_Cam_testData/winter_vid/cam1/928_2.0.jpg,7
EDI_Cam_testData/winter_vid/cam1/974_2.0.jpg,8
EDI_Cam_testData/winter_vid/cam1/975_2.0.jpg,8
EDI_Cam_testData/winter_vid/cam1/983_2.0.jpg,8
EDI_Cam_testData/winter_vid/cam1/998_5.0.jpg,9
EDI_Cam_testData/winter_vid/cam1/1010_7.0.jpg,9
EDI_Cam_testData/winter_vid/cam1/1048_7.0.jpg,9
EDI_Cam_testData/winter_vid/cam1/1135_2.0.jpg,9
EDI_Cam_testData/winter_vid/cam1/1150_2.0.jpg,9
EDI_Cam_testData/winter_vid/cam1/1154_5.0.jpg,9
